geo_accession	sex	ploidy	cell_type
GSM435365	n/a	n/a	white blood cells
GSM435366	n/a	n/a	white blood cells
GSM435367	n/a	n/a	white blood cells
GSM435368	n/a	n/a	white blood cells
GSM435369	n/a	n/a	white blood cells
GSM435370	n/a	n/a	white blood cells
GSM435371	n/a	n/a	white blood cells
GSM435372	n/a	n/a	white blood cells
GSM435373	n/a	n/a	white blood cells
GSM435374	n/a	n/a	white blood cells
GSM435375	n/a	n/a	white blood cells
GSM435376	n/a	n/a	white blood cells
GSM435377	n/a	n/a	white blood cells
GSM435378	n/a	n/a	white blood cells
GSM435379	n/a	n/a	white blood cells
GSM435380	n/a	n/a	white blood cells
GSM435381	n/a	n/a	white blood cells
GSM435382	n/a	n/a	white blood cells
GSM435383	n/a	n/a	white blood cells
GSM435384	n/a	n/a	white blood cells
GSM435385	n/a	n/a	white blood cells
GSM435386	n/a	n/a	white blood cells
GSM435387	n/a	n/a	white blood cells
GSM435388	n/a	n/a	white blood cells
GSM435389	n/a	n/a	white blood cells
GSM435390	n/a	n/a	white blood cells
GSM435391	n/a	n/a	white blood cells
GSM435392	n/a	n/a	white blood cells
GSM435393	n/a	n/a	white blood cells
GSM435394	n/a	n/a	white blood cells
GSM435395	n/a	n/a	white blood cells
GSM435396	n/a	n/a	white blood cells
GSM435397	n/a	n/a	white blood cells
GSM435398	n/a	n/a	white blood cells
GSM435399	n/a	n/a	white blood cells
GSM435400	n/a	n/a	white blood cells
GSM435401	n/a	n/a	white blood cells
GSM435402	n/a	n/a	white blood cells
GSM435403	n/a	n/a	white blood cells
GSM435404	n/a	n/a	white blood cells
GSM435405	n/a	n/a	white blood cells
GSM435406	n/a	n/a	white blood cells
GSM435407	n/a	n/a	white blood cells
GSM435408	n/a	n/a	white blood cells
GSM435409	n/a	n/a	white blood cells
GSM435410	n/a	n/a	white blood cells
GSM435411	n/a	n/a	white blood cells
GSM435412	n/a	n/a	white blood cells
GSM435413	n/a	n/a	white blood cells
GSM435414	n/a	n/a	white blood cells
GSM435415	n/a	n/a	white blood cells
GSM435416	n/a	n/a	white blood cells
GSM435417	n/a	disomic	white blood cells
GSM435418	n/a	disomic	white blood cells
GSM435419	n/a	disomic	white blood cells
GSM435420	n/a	disomic	white blood cells
GSM435421	n/a	disomic	white blood cells
GSM435422	n/a	disomic	white blood cells
GSM435423	n/a	n/a	white blood cells
GSM435424	n/a	n/a	white blood cells
GSM435425	n/a	n/a	white blood cells
GSM435426	n/a	n/a	white blood cells
GSM435427	n/a	n/a	white blood cells
GSM435428	n/a	n/a	white blood cells
GSM435429	n/a	n/a	white blood cells
GSM435430	n/a	n/a	white blood cells
GSM435431	n/a	n/a	white blood cells
GSM443577	female	disomic	n/a
GSM443578	female	disomic	n/a
GSM443579	female	disomic	n/a
GSM443580	female	disomic	n/a
GSM443581	female	disomic	n/a
GSM443582	female	disomic	n/a
GSM30723	n/a	trisomic	n/a
GSM30855	n/a	trisomic	n/a
GSM30856	n/a	trisomic	n/a
GSM30859	n/a	trisomic	n/a
GSM30860	n/a	trisomic	n/a
GSM30862	n/a	trisomic	n/a
GSM30863	n/a	trisomic	n/a
GSM30864	n/a	trisomic	n/a
GSM30865	n/a	trisomic	n/a
GSM30866	n/a	trisomic	n/a
GSM30867	n/a	disomic	n/a
GSM30868	n/a	disomic	n/a
GSM30869	n/a	disomic	n/a
GSM30870	n/a	disomic	n/a
GSM30871	n/a	disomic	n/a
GSM491358	n/a	disomic	Megakaryoblastic leukemia cell line
GSM491359	n/a	disomic	Megakaryoblastic leukemia cell line
GSM491360	n/a	disomic	Down Syndrome megakaryoblastic leukemia cell line
GSM491361	n/a	disomic	Down Syndrome megakaryoblastic leukemia cell line
GSM491362	n/a	disomic	Megakaryoblastic leukemia cell line
GSM491363	n/a	disomic	Megakaryoblastic leukemia cell line
GSM491364	n/a	disomic	Down Syndrome megakaryoblastic leukemia cell line
GSM491365	n/a	disomic	Down Syndrome megakaryoblastic leukemia cell line
GSM491366	n/a	disomic	CD34+/- Hematopoietic stem and progenitor cells
GSM491367	n/a	disomic	CD34+/- Hematopoietic stem and progenitor cells
GSM491368	n/a	disomic	sorted leukemic blast cells
GSM491369	n/a	disomic	sorted leukemic blast cells
GSM491370	n/a	disomic	sorted leukemic blast cells
GSM491371	n/a	disomic	sorted leukemic blast cells
GSM491372	n/a	disomic	sorted leukemic blast cells
GSM491373	n/a	disomic	sorted leukemic blast cells
GSM491374	n/a	disomic	sorted leukemic blast cells
GSM491375	n/a	disomic	sorted leukemic blast cells
GSM491376	n/a	disomic	sorted leukemic blast cells
GSM491377	n/a	disomic	sorted leukemic blast cells
GSM495453	n/a	n/a	ES cell
GSM495454	n/a	n/a	ES cell
GSM495455	n/a	n/a	ES cell
GSM495456	n/a	n/a	ES cell
GSM495457	n/a	n/a	ES cell
GSM495458	n/a	n/a	ES cell
GSM495459	n/a	n/a	ES cell
GSM495460	n/a	n/a	ES cell
GSM495461	n/a	n/a	ES cell
GSM495462	n/a	n/a	ES cell
GSM495463	n/a	n/a	ES cell
GSM495464	n/a	n/a	ES cell
GSM495465	n/a	n/a	ES cell
GSM495466	n/a	n/a	ES cell
GSM495467	n/a	n/a	ES cell
GSM495468	n/a	n/a	ES cell
GSM495469	n/a	n/a	ES cell
GSM495470	n/a	n/a	ES cell
GSM495471	n/a	n/a	ES cell
GSM495472	n/a	n/a	ES cell
GSM495473	n/a	n/a	ES cell
GSM495474	n/a	n/a	ES cell
GSM495475	n/a	n/a	ES cell
GSM495476	n/a	n/a	ES cell
GSM495477	n/a	n/a	ES cell
GSM495478	n/a	n/a	ES cell
GSM495479	n/a	n/a	ES cell
GSM495480	n/a	n/a	ES cell
GSM495481	n/a	n/a	ES cell
GSM495482	n/a	n/a	ES cell
GSM495483	n/a	n/a	ES cell
GSM495484	n/a	n/a	ES cell
GSM495485	n/a	n/a	ES cell
GSM495486	n/a	n/a	ES cell
GSM495487	n/a	n/a	ES cell
GSM495488	n/a	n/a	ES cell
GSM495489	n/a	n/a	ES cell
GSM495490	n/a	n/a	ES cell
GSM495491	n/a	n/a	ES cell
GSM495492	n/a	n/a	ES cell
GSM495493	n/a	n/a	ES cell
GSM495494	n/a	n/a	ES cell
GSM495495	n/a	n/a	ES cell
GSM495496	n/a	n/a	ES cell
GSM495497	n/a	n/a	ES cell
GSM495498	n/a	n/a	ES cell
GSM495499	n/a	n/a	ES cell
GSM495500	n/a	n/a	ES cell
GSM495501	n/a	n/a	ES cell
GSM495502	n/a	n/a	ES cell
GSM495503	n/a	n/a	ES cell
GSM495504	n/a	n/a	ES cell
GSM495505	n/a	n/a	ES cell
GSM495506	n/a	n/a	ES cell
GSM495507	n/a	n/a	ES cell
GSM495508	n/a	n/a	ES cell
GSM495509	n/a	n/a	ES cell
GSM495510	n/a	n/a	ES cell
GSM495511	n/a	n/a	ES cell
GSM495512	n/a	n/a	ES cell
GSM495513	n/a	n/a	ES cell
GSM495514	n/a	n/a	ES cell
GSM495515	n/a	n/a	ES cell
GSM495516	n/a	n/a	ES cell
GSM495517	n/a	n/a	ES cell
GSM495518	n/a	n/a	ES cell
GSM495519	n/a	n/a	ES cell
GSM495520	n/a	n/a	ES cell
GSM495521	n/a	n/a	ES cell
GSM495522	n/a	n/a	ES cell
GSM495523	n/a	n/a	ES cell
GSM495524	n/a	n/a	ES cell
GSM495525	n/a	n/a	ES cell
GSM495526	n/a	n/a	ES cell
GSM495527	n/a	n/a	ES cell
GSM495528	n/a	n/a	ES cell
GSM495529	n/a	n/a	ES cell
GSM495530	n/a	n/a	ES cell
GSM495531	n/a	n/a	ES cell
GSM495532	n/a	n/a	ES cell
GSM495533	n/a	n/a	ES cell
GSM495534	n/a	n/a	ES cell
GSM495535	n/a	n/a	ES cell
GSM495536	n/a	n/a	ES cell
GSM495537	n/a	n/a	ES cell
GSM495538	n/a	n/a	ES cell
GSM495539	n/a	n/a	ES cell
GSM495540	n/a	n/a	ES cell
GSM495541	n/a	n/a	ES cell
GSM495542	n/a	n/a	ES cell
GSM495543	n/a	n/a	ES cell
GSM495544	n/a	n/a	ES cell
GSM495545	n/a	n/a	ES cell
GSM495546	n/a	n/a	ES cell
GSM495547	n/a	n/a	ES cell
GSM495548	n/a	n/a	ES cell
GSM495549	n/a	n/a	ES cell
GSM495550	n/a	n/a	ES cell
GSM495551	n/a	n/a	ES cell
GSM495552	n/a	n/a	ES cell
GSM495553	n/a	n/a	ES cell
GSM495554	n/a	n/a	ES cell
GSM495555	n/a	n/a	ES cell
GSM495556	n/a	n/a	ES cell
GSM495557	n/a	n/a	ES cell
GSM495558	n/a	n/a	ES cell
GSM495559	n/a	n/a	ES cell
GSM495560	n/a	n/a	ES cell
GSM495561	n/a	n/a	ES cell
GSM495562	n/a	n/a	ES cell
